ps3,best_match,percent,all_matches,,,,
sprites\dla\1\dla_b22_ikari1.png,bmp\tati\dla\1\dla_ikaria1,100,"('bmp\\tati\\dla\\1\\dla_ikaria1', 2)",,,,
sprites\but\1\but_b11_sakebu2a.png,bmp\tati\but\1\but_sakebua2,100,"('bmp\\tati\\but\\1\\but_sakebua2', 2)",,,,
sprites\but\1\but_b22_nayamu1.png,bmp\tati\but\1\but_nayamua1,100,"('bmp\\tati\\but\\1\\but_nayamua1', 1)",,,,
sprites\kaw\1\kaw_a12_komaru1.png,bmp\tati\kaw\1\kaw_komarua1,100,"('bmp\\tati\\kaw\\1\\kaw_komarua1', 3)",,,,
sprites\enj\1\enj_a13_def1.png,bmp\tati\enj\1\enj_defa1,100,"('bmp\\tati\\enj\\1\\enj_defa1', 1)",,,,
sprites\ama\1\ama_a14_def2.png,bmp\tati\ama\1\ama_defa2,100,"('bmp\\tati\\ama\\1\\ama_defa2', 1)",,,,
sprites\kaw\1\kaw_a12_nayamu1.png,bmp\tati\kaw\1\kaw_nayamua1,100,"('bmp\\tati\\kaw\\1\\kaw_nayamua1', 1)",,,,
sprites\enj\1\enj_a11_warai1.png,bmp\tati\enj\1\enj_waraia1,100,"('bmp\\tati\\enj\\1\\enj_waraia1', 1)",,,,
sprites\oko\1\oko_a11_akuwarai1.png,bmp\tati\oko\1\oko_akuwaraia1,100,"('bmp\\tati\\oko\\1\\oko_akuwaraia1', 3)",,,,
sprites\oko\1\oko_a11_warai1.png,bmp\tati\oko\1\oko_waraia1,100,"('bmp\\tati\\oko\\1\\oko_waraia1', 3)",,,,
sprites\oko\1\oko_a11_warai2.png,bmp\tati\oko\1\oko_waraia2,100,"('bmp\\tati\\oko\\1\\oko_waraia2', 4)",,,,
sprites\oko\1\oko_a11_def1.png,bmp\tati\oko\1\oko_defa1,100,"('bmp\\tati\\oko\\1\\oko_defa1', 10)",,,,
sprites\pro\1\pro_a11_odoroki1.png,bmp\tati\pro\1\pro_odorokia1,100,"('bmp\\tati\\pro\\1\\pro_odorokia1', 1)",,,,
sprites\enj\1\enj_a11_def2.png,bmp\tati\enj\1\enj_defa2,100,"('bmp\\tati\\enj\\1\\enj_defa2', 1)",,,,
sprites\enj\1\enj_b11_hanbeso2.png,bmp\tati\enj\1\enj_hanbesoa2,100,"('bmp\\tati\\enj\\1\\enj_hanbesoa2', 1)",,,,
sprites\bea\1\bea_a14_def1.png,bmp\tati\bea\1\bea_defa1,100,"('bmp\\tati\\bea\\1\\bea_defa1', 1)",,,,
sprites\rg5\1\rg5_d11_naku1.png,bmp\tati\rg5\1\rg5_waraia4,100,"('bmp\\tati\\rg5\\1\\rg5_waraia4', 1)",,,,
sprites\rg5\1\rg5_d11_warai1.png,bmp\tati\rg5\1\rg5_waraia1,100,"('bmp\\tati\\rg5\\1\\rg5_waraia1', 1)",,,,
sprites\bea\1\bea_a12_hanbeso2.png,bmp\tati\bea\1\bea_hanbesoa2,100,"('bmp\\tati\\bea\\1\\bea_hanbesoa2', 1)",,,,
sprites\bea\1\bea_a33_akuwarai2.png,bmp\tati\bea\1\bea_akuwaraia2,100,"('bmp\\tati\\bea\\1\\bea_akuwaraia2', 1)",,,,
sprites\enj\1\enj_a13_ikari1.png,bmp\tati\enj\1\enj_ikaria1,100,"('bmp\\tati\\enj\\1\\enj_ikaria1', 1)",,,,
sprites\eri\1\eri_a13_warai1.png,bmp\tati\eri\1\eri_waraia1,100,"('bmp\\tati\\eri\\1\\eri_waraia1', 1)",,,,
sprites\enj\1\enj_a21_komaru5.png,bmp\tati\enj\1\enj_komarua5,100,"('bmp\\tati\\enj\\1\\enj_komarua5', 1)",,,,
sprites\enj\1\enj_a21_komaru4.png,bmp\tati\enj\1\enj_komarua4,100,"('bmp\\tati\\enj\\1\\enj_komarua4', 4)",,,,
sprites\enj\1\enj_a11_hanbeso3.png,bmp\tati\enj\1\enj_hanbesoa3,100,"('bmp\\tati\\enj\\1\\enj_hanbesoa3', 12)",,,,
sprites\ber\1\ber_a21_warai3ase.png,bmp\tati\ber\1\ber_waraia3a,100,"('bmp\\tati\\ber\\1\\ber_waraia3a', 5)",,,,
sprites\fea\1\fea_b11_def5.png,bmp\tati\fea\2\fea_defa5,100,"('bmp\\tati\\fea\\2\\fea_defa5', 2)",,,,
sprites\dla\1\dla_b22b_ikari1.png,bmp\tati\dla\1\dla_ikaria1b,100,"('bmp\\tati\\dla\\1\\dla_ikaria1b', 3)",,,,
sprites\eri\1\eri_a16b_niramu1.png,bmp\tati\eri\1\eri_niramua1a,100,"('bmp\\tati\\eri\\1\\eri_niramua1a', 1)",,,,
sprites\eri\1\eri_a16b_gaman2.png,bmp\tati\eri\1\eri_gamana2,100,"('bmp\\tati\\eri\\1\\eri_gamana2', 3)",,,,
sprites\eri\1\eri_a16b_majime2.png,bmp\tati\eri\1\ERI_majimeA2,,,,,,
sprites\kir\1\kir_a19_warai2.png,bmp\tati\kir\1\kir_waraib2g,100,"('bmp\\tati\\kir\\1\\kir_waraib2g', 4)",,,,
sprites\rud\1\rud_a15_warai1.png,bmp\tati\rud\1\rud_waraib1g,100,"('bmp\\tati\\rud\\1\\rud_waraib1g', 4)",,,,
sprites\ros\1\ros_a14_ikari4.png,bmp\tati\ros\1\ros_ikaria4g,100,"('bmp\\tati\\ros\\1\\ros_ikaria4g', 1)",,,,
sprites\ros\1\ros_b26_ikari3.png,bmp\tati\ros\1\ros_ikarib3g,100,"('bmp\\tati\\ros\\1\\ros_ikarib3g', 1)",,,,
sprites\eri\1\eri_a16b_odoroki2.png,bmp\tati\eri\1\eri_odorokia2,100,"('bmp\\tati\\eri\\1\\eri_odorokia2', 2)",,,,
